date,year,month,retail_sales
2012-04-01,2012,4,32085920.0
2012-05-01,2012,5,12241213.0
2012-06-01,2012,6,42872274.0
2012-07-01,2012,7,47748406.0
2012-08-01,2012,8,9802857.0
2012-09-01,2012,9,6302116.0
2012-10-01,2012,10,40698733.0
2012-11-01,2012,11,14979055.0
2012-12-01,2012,12,28439938.0
2013-01-01,2013,1,27465534.0
2013-02-01,2013,2,26385487.0
2013-03-01,2013,3,55902675.0
2013-04-01,2013,4,15884198.0
2013-05-01,2013,5,53623472.0
2013-06-01,2013,6,33637799.0
2013-07-01,2013,7,94903931.0
2013-08-01,2013,8,9612159.0
2013-09-01,2013,9,30047617.0
2013-10-01,2013,10,25789262.0
2013-11-01,2013,11,76267887.0
2013-12-01,2013,12,156967714.0
2014-01-01,2014,1,53594258.0
2014-02-01,2014,2,28677063.0
2014-03-01,2014,3,54381945.0
2014-04-01,2014,4,54034675.0
2014-05-01,2014,5,82890251.0
2014-06-01,2014,6,18008021.0
2014-07-01,2014,7,56670311.0
2014-08-01,2014,8,3842395.0
2014-09-01,2014,9,198084493.0
2014-10-01,2014,10,11406456.0
2014-11-01,2014,11,36881025.0
2014-12-01,2014,12,59026444.0
2015-01-01,2015,1,42903102.0
2015-02-01,2015,2,51433329.0
2015-03-01,2015,3,98534040.0
2015-04-01,2015,4,25642175.0
2015-05-01,2015,5,23117584.0
2015-06-01,2015,6,25617832.0
2015-07-01,2015,7,30375837.0
2015-08-01,2015,8,64422545.0
2015-09-01,2015,9,37841823.0
2015-10-01,2015,10,155463680.0
2015-11-01,2015,11,11679827.0
2015-12-01,2015,12,97683433.0
2016-01-01,2016,1,23775849.0
2016-02-01,2016,2,38929323.0
2016-03-01,2016,3,45394084.0
2016-04-01,2016,4,45586998.0
2016-05-01,2016,5,235856195.0
2016-06-01,2016,6,103903921.0
2016-07-01,2016,7,759579.0
2016-08-01,2016,8,56841671.0
2016-09-01,2016,9,21355744.0
2016-10-01,2016,10,41682416.0
2016-11-01,2016,11,42101624.0
2016-12-01,2016,12,226930516.0
2017-01-01,2017,1,77974221.0
2017-02-01,2017,2,21577814.0
2017-03-01,2017,3,38186018.0
2017-04-01,2017,4,73722360.0
2017-05-01,2017,5,134586456.0
2017-06-01,2017,6,148028399.0
2017-07-01,2017,7,53881549.0
2017-08-01,2017,8,217186870.0
2017-09-01,2017,9,69293654.0
2017-10-01,2017,10,35372317.0
2017-11-01,2017,11,32149736.0
2017-12-01,2017,12,71199179.0
2018-01-01,2018,1,202288652.0
2018-02-01,2018,2,18159216.0
2018-03-01,2018,3,99370662.0
2018-04-01,2018,4,52975268.0
2018-05-01,2018,5,82846700.0
2018-06-01,2018,6,179585699.0
2018-07-01,2018,7,50619834.0
2018-08-01,2018,8,59112000.0
2018-09-01,2018,9,40334059.0
2018-10-01,2018,10,88677121.0
2018-11-01,2018,11,151351076.0
2018-12-01,2018,12,219983400.0
2019-01-01,2019,1,219983400.0
2019-02-01,2019,2,219983400.0
2019-03-01,2019,3,219983400.0
2019-04-01,2019,4,219983400.0
2019-05-01,2019,5,219983400.0
2019-06-01,2019,6,219983400.0
2019-07-01,2019,7,219983400.0
2019-08-01,2019,8,219983400.0
2019-09-01,2019,9,219983400.0
2019-10-01,2019,10,219983400.0
2019-11-01,2019,11,219983400.0
2019-12-01,2019,12,219983400.0
2020-01-01,2020,1,219983400.0
2020-02-01,2020,2,219983400.0
2020-03-01,2020,3,219983400.0
2020-04-01,2020,4,219983400.0
2020-05-01,2020,5,219983400.0
2020-06-01,2020,6,219983400.0
2020-07-01,2020,7,219983400.0
2020-08-01,2020,8,219983400.0
2020-09-01,2020,9,219983400.0
2020-10-01,2020,10,219983400.0
2020-11-01,2020,11,219983400.0
2020-12-01,2020,12,219983400.0
2021-01-01,2021,1,219983400.0
2021-02-01,2021,2,219983400.0
2021-03-01,2021,3,219983400.0
2021-04-01,2021,4,219983400.0
2021-05-01,2021,5,219983400.0
2021-06-01,2021,6,219983400.0
2021-07-01,2021,7,219983400.0
2021-08-01,2021,8,219983400.0
2021-09-01,2021,9,219983400.0
