date,year,month,gold_price_cum,gold_price_lon
2009-03-01,2009,3,341.75,935.5
2009-04-01,2009,4,311.5,894.33
2009-05-01,2009,5,315.0,942.94
2009-06-01,2009,6,319.25,944.19
2009-07-01,2009,7,312.0,934.75
2009-08-01,2009,8,311.25,954.38
2009-09-01,2009,9,323.0,1000.19
2009-10-01,2009,10,336.2,1040.55
2009-11-01,2009,11,360.0,1113.67
2009-12-01,2009,12,367.75,1130.19
2010-01-01,2010,1,354.5,1104.31
2010-02-01,2010,2,363.0,1090.25
2010-03-01,2010,3,371.0,1110.81
2010-04-01,2010,4,373.2,1151.68
2010-05-01,2010,5,403.75,1206.5
2010-06-01,2010,6,417.0,1233.38
2010-07-01,2010,7,401.8,1191.8
2010-08-01,2010,8,405.5,1220.13
2010-09-01,2010,9,416.33,1270.5
2010-10-01,2010,10,417.75,1336.94
2010-11-01,2010,11,424.0,1379.67
2010-12-01,2010,12,461.0,1382.42
2011-01-01,2011,1,465.75,1349.13
2011-02-01,2011,2,473.75,1376.25
2011-03-01,2011,3,487.0,1423.63
2011-04-01,2011,4,482.0,1455.08
2011-05-01,2011,5,511.5,1504.0
2011-06-01,2011,6,529.75,1530.37
2011-07-01,2011,7,564.8,1568.4
2011-08-01,2011,8,683.0,1757.7
2011-09-01,2011,9,693.4,1765.9
2011-10-01,2011,10,659.3,1678.4
2011-11-01,2011,11,674.25,1732.38
2011-12-01,2011,12,664.8,1646.4
2012-01-01,2012,1,658.75,1657.75
2012-02-01,2012,2,660.0,1736.5
2012-03-01,2012,3,648.6,1675.8
2012-04-01,2012,4,635.75,1650.62
2012-05-01,2012,5,622.5,1596.43
2012-06-01,2012,6,629.0,1588.25
2012-07-01,2012,7,622.5,1594.93
2012-08-01,2012,8,632.8,1630.15
2012-09-01,2012,9,672.25,1766.0
2012-10-01,2012,10,668.2,1742.95
2012-11-01,2012,11,663.4,1719.45
2012-12-01,2012,12,649.25,1676.68
2013-01-01,2013,1,641.25,1663.5
2013-02-01,2013,2,627.75,1631.0
2013-03-01,2013,3,624.6,1593.1
2013-04-01,2013,4,592.0,1495.12
2013-05-01,2013,5,574.2,1409.85
2013-06-01,2013,6,551.75,1316.12
2013-07-01,2013,7,556.25,1279.81
2013-08-01,2013,8,584.8,1334.12
2013-09-01,2013,9,584.5,1348.93
2013-10-01,2013,10,570.0,1307.66
2013-11-01,2013,11,565.8,1275.75
2013-12-01,2013,12,557.0,1218.76
2014-01-01,2014,1,594.8,1249.35
2014-02-01,2014,2,610.75,1307.25
2014-03-01,2014,3,631.0,1337.75
2014-04-01,2014,4,598.5,1303.87
2014-05-01,2014,5,581.8,1281.2
2014-06-01,2014,6,587.75,1287.62
2014-07-01,2014,7,594.0,1314.06
2014-08-01,2014,8,599.6,1292.0
2014-09-01,2014,9,587.25,1232.75
2014-10-01,2014,10,587.6,1209.05
2014-11-01,2014,11,574.0,1177.5
2014-12-01,2014,12,589.75,1195.56
2015-01-01,2015,1,622.0,1244.45
2015-02-01,2015,2,644.25,1223.93
2015-03-01,2015,3,653.5,1176.65
2015-04-01,2015,4,677.5,1198.05
2015-05-01,2015,5,672.8,1199.59
2015-06-01,2015,6,676.5,1180.32
2015-07-01,2015,7,656.7,1127.85
2015-08-01,2015,8,687.0,1120.73
2015-09-01,2015,9,719.0,1122.83
2015-10-01,2015,10,719.4,1155.35
2015-11-01,2015,11,667.5,1077.38
2015-12-01,2015,12,676.5,1070.85
2016-01-01,2016,1,704.25,1100.91
2016-02-01,2016,2,755.25,1211.93
2016-03-01,2016,3,766.5,1254.46
2016-04-01,2016,4,752.0,1241.82
2016-05-01,2016,5,790.75,1256.33
2016-06-01,2016,6,794.25,1280.55
2016-07-01,2016,7,836.4,1336.8
2016-08-01,2016,8,847.0,1339.43
2016-09-01,2016,9,842.2,1325.01
2016-10-01,2016,10,841.5,1262.38
2016-11-01,2016,11,877.25,1234.48
2016-12-01,2016,12,875.4,1149.51
2017-01-01,2017,1,957.25,1187.9
2017-02-01,2017,2,975.25,1234.77
2017-03-01,2017,3,974.8,1230.22
2017-04-01,2017,4,998.25,1274.07
2017-05-01,2017,5,961.75,1244.08
2017-06-01,2017,6,958.6,1258.97
2017-07-01,2017,7,952.75,1239.85
2017-08-01,2017,8,968.75,1281.22
2017-09-01,2017,9,979.5,1311.75
2017-10-01,2017,10,1008.0,1277.26
2017-11-01,2017,11,1066.5,1281.58
2017-12-01,2017,12,1092.0,1270.85
2018-01-01,2018,1,1114.75,1333.01
2018-02-01,2018,2,1119.25,1331.32
2018-03-01,2018,3,1141.2,1324.69
2018-04-01,2018,4,1197.25,1333.28
2018-05-01,2018,5,1280.75,1306.38
2018-06-01,2018,6,1304.25,1278.5
2018-07-01,2018,7,1306.25,1237.43
2018-08-01,2018,8,1600.25,1202.88
2018-09-01,2018,9,1673.75,1196.7
2018-10-01,2018,10,1600.0,1221.31
2018-11-01,2018,11,1478.4,1221.42
2018-12-01,2018,12,1502.25,1253.95
2019-01-01,2019,1,1561.5,1286.73
2019-02-01,2019,2,1559.25,1319.78
2019-03-01,2019,3,1604.8,1303.78
2019-04-01,2019,4,1654.5,1285.66
2019-05-01,2019,5,1730.25,1282.23
2019-06-01,2019,6,1786.66,1385.8
2019-07-01,2019,7,1781.25,1414.08
2019-08-01,2019,8,1839.25,1489.62
2019-09-01,2019,9,1899.0,1504.65
2019-10-01,2019,10,1918.0,1495.43
2019-11-01,2019,11,1880.0,1472.89
2019-12-01,2019,12,1916.25,1479.18
