date,year,month,ticker,firm,marketcap
2017-12-01,2017,12,SARKY,SARKUYSAN,660000.0
2017-12-01,2017,12,ALCAR,ALARKO CARRIER,653940.0
2017-12-01,2017,12,ASUZU,ANADOLU ISUZU,764400.0
2017-12-01,2017,12,ARCLK,ARCELIK,14541670.9716
2017-12-01,2017,12,BFREN,BOSCH FREN SISTEMLERI,483750.0
2017-12-01,2017,12,DITAS,DITAS DOGAN,60700.0
2017-12-01,2017,12,EGEEN,EGE ENDUSTRI,1014300.0
2017-12-01,2017,12,EMKEL,EMEK ELEKTRIK,38637.0
2017-12-01,2017,12,EMNIS,EMINIS AMBALAJ,28767.999999999996
2017-12-01,2017,12,FMIZP,F-M IZMIT PISTON,193307.7366
2017-12-01,2017,12,FROTO,FORD OTOSAN,21142327.5
2017-12-01,2017,12,GEREL,GERSAN ELEKTRIK,235500.0
2017-12-01,2017,12,IHEVA,IHLAS EV ALETLERI,97598.70070379999
2017-12-01,2017,12,KARSN,KARSAN OTOMOTIV,936000.0
2017-12-01,2017,12,KLMSN,KLIMASAN KLIMA,193050.0
2017-12-01,2017,12,MAKTK,MAKINA TAKIM,400000.0
2017-12-01,2017,12,OTKAR,OTOKAR,2971200.0
2017-12-01,2017,12,PARSN,PARSAN,902210.4
2017-12-01,2017,12,SILVR,SILVERLINE ENDUSTRI,78203.63418
2017-12-01,2017,12,TOASO,TOFAS OTO. FAB.,16510000.000000002
2017-12-01,2017,12,PRKAB,TURK PRYSMIAN KABLO,360003.47608
2017-12-01,2017,12,TTRAK,TURK TRAKTOR,4056044.0
2017-12-01,2017,12,VESTL,VESTEL,2539404.00175
2017-12-01,2017,12,VESBE,VESTEL BEYAZ ESYA,1818300.0
2017-12-01,2017,12,ADEL,ADEL KALEMCILIK,388867.5
2017-12-01,2017,12,SERVE,SERVE KIRTASIYE,7166.885318999999
2017-12-01,2017,12,AKENR,AK ENERJI,663539.24
2017-12-01,2017,12,AKSUE,AKSU ENERJI,83937.6
2017-12-01,2017,12,AYEN,AYEN ENERJI,826134.309
2017-12-01,2017,12,ZOREN,ZORLU ENERJI,3160000.0
2017-12-01,2017,12,EDIP,EDIP GAYRIMENKUL,76700.0
2017-12-01,2017,12,ENKAI,ENKA INSAAT,27738000.0
2017-12-01,2017,12,DOAS,DOGUS OTOMOTIV,1812800.0
2017-12-01,2017,12,INTEM,INTEMA,118292.4
2017-12-01,2017,12,SANKO,SANKO PAZARLAMA,271200.0
2017-12-01,2017,12,SELEC,SELCUK ECZA DEPOSU,2235600.0
2017-12-01,2017,12,BIMAS,BIM MAGAZALAR,23711160.0
2017-12-01,2017,12,MIPAZ,MILPA,385246.69632000005
2017-12-01,2017,12,VAKKO,VAKKO TEKSTIL,492800.0
2017-12-01,2017,12,AYCES,ALTINYUNUS CESME,84621.537
2017-12-01,2017,12,MAALT,MARMARIS ALTINYUNUS,104795.184
2017-12-01,2017,12,MARTI,MARTI OTEL,80150.4
2017-12-01,2017,12,METUR,METEMTUR OTELCILIK,26640.0
2017-12-01,2017,12,PKENT,PETROKENT TURIZM,49227.264
2017-12-01,2017,12,TEKTU,TEK-ART TURIZM,112279.18162999999
2017-12-01,2017,12,CLEBI,CELEBI,898613.9999999999
2017-12-01,2017,12,RYSAS,REYSAS LOJISTIK,152768.0
2017-12-01,2017,12,THYAO,TURK HAVA YOLLARI,21652200.0
2017-12-01,2017,12,TCELL,TURKCELL,34056000.0
2017-12-01,2017,12,TTKOM,TURK TELEKOM,22540000.0
2017-12-01,2017,12,BJKAS,BESIKTAS FUTBOL YAT.,981600.0
2017-12-01,2017,12,FENER,FENERBAHCE FUTBOL,970003.9999999999
2017-12-01,2017,12,GSRAY,GALATASARAY SPORTIF,671760.0
2017-12-01,2017,12,TSPOR,TRABZONSPOR SPORTIF,220000.00000000003
2017-12-01,2017,12,SONME,SONMEZ FILAMENT,232669.75000000003
2017-12-01,2017,12,AKBNK,AKBANK,39400000.0
2017-12-01,2017,12,ALBRK,ALBARAKA TURK,1395000.0
2017-12-01,2017,12,GARAN,GARANTI BANKASI,45024000.0
2017-12-01,2017,12,ISATR,IS BANKASI (A),17000.0
2017-12-01,2017,12,ISBTR,IS BANKASI (B),36276.1
2017-12-01,2017,12,ISCTR,IS BANKASI (C),31364790.9
2017-12-01,2017,12,SKBNK,SEKERBANK,2119140.0
2017-12-01,2017,12,HALKB,T. HALK BANKASI,13475000.0
2017-12-01,2017,12,TSKB,T.S.K.B.,3456000.0
2017-12-01,2017,12,VAKBN,VAKIFLAR BANKASI,16924999.999999996
2017-12-01,2017,12,YKBNK,YAPI VE KREDI BANK.,18866202.572559997
2017-12-01,2017,12,AKGRT,AKSIGORTA,1012860.0
2017-12-01,2017,12,ANHYT,ANADOLU HAYAT EMEK.,3547500.0
2017-12-01,2017,12,ANSGR,ANADOLU SIGORTA,1550000.0
2017-12-01,2017,12,GUSGR,GUNES SIGORTA,445500.0
2017-12-01,2017,12,RAYSG,RAY SIGORTA,295156.43936
2017-12-01,2017,12,CRDFA,CREDITWEST FAKTORING,108800.00000000001
2017-12-01,2017,12,GARFA,GARANTI FAKTORING,259169.99999999997
2017-12-01,2017,12,ISFIN,IS FIN.KIR.,968950.9410499999
2017-12-01,2017,12,SEKFK,SEKER FIN. KIR.,115650.0
2017-12-01,2017,12,VAKFN,VAKIF FIN. KIR.,226720.0
2017-12-01,2017,12,ALARK,ALARKO HOLDING,1622370.42
2017-12-01,2017,12,BRYAT,BORUSAN YAT. PAZ.,1237500.0
2017-12-01,2017,12,DOHOL,DOGAN HOLDING,2276736.31056
2017-12-01,2017,12,ECILC,ECZACIBASI ILAC,3021996.6
2017-12-01,2017,12,ECZYT,ECZACIBASI YATIRIM,1146600.0
2017-12-01,2017,12,GLYHO,GLOBAL YAT. HOLDING,1176457.1598473
2017-12-01,2017,12,GSDHO,GSD HOLDING,324000.0
2017-12-01,2017,12,IHLAS,IHLAS HOLDING,418912.0
2017-12-01,2017,12,KCHOL,KOC HOLDING,46863395.964
2017-12-01,2017,12,MZHLD,MAZHAR ZORLU HOLDING,43235.64
2017-12-01,2017,12,NTHOL,NET HOLDING,1246165.8207699999
2017-12-01,2017,12,SISE,SISE CAM,10575000.0
2017-12-01,2017,12,SAHOL,SABANCI HOLDING,22689291.71272
2017-12-01,2017,12,TAVHL,TAV HAVALIMANLARI,8159296.875
2017-12-01,2017,12,TKFEN,TEKFEN HOLDING,6290000.0
2017-12-01,2017,12,TRCAS,TURCAS PETROL,642600.0
2017-12-01,2017,12,ATLAS,ATLAS YAT. ORT.,29400.0
2017-12-01,2017,12,ETYAT,EURO TREND YAT. ORT.,19200.0
2017-12-01,2017,12,GRNYO,GARANTI YAT. ORT.,24000.0
