date,year,month,exports_usd,exports_tl,imports_usd,imports_tl
2009-10-01,2009,10,10095768030,14835929962,12772506117,18739100478
2009-11-01,2009,11,8903010773,13244313059,12617535430,18752624175
2009-12-01,2009,12,10054591867,15151055732,15019475471,22598660001
2010-01-01,2010,1,7828748058,11542068255,11691248394,17212177724
2010-02-01,2010,2,8263237814,12516992899,11781611175,17808112046
2010-03-01,2010,3,9886488171,15182232662,15022223719,23052245594
2010-04-01,2010,4,9396006654,14046899179,14943415664,22340254295
2010-05-01,2010,5,9799958117,15124361382,14726092099,22622048688
2010-06-01,2010,6,9542907644,15048168172,15233114061,24005508749
2010-07-01,2010,7,9564682545,14571626801,16078478415,24576223868
2010-08-01,2010,8,8523451973,12873286099,15434037076,23275182041
2010-09-01,2010,9,8909230521,13331827160,15643757883,23448669790
2010-10-01,2010,10,10963586270,15642168089,17296679730,24643160360
2010-11-01,2010,11,9382369718,13487024275,17134768305,24580797303
2010-12-01,2010,12,11822551699,17976557785,20558905331,31103825122
2011-01-01,2011,1,9551084639,14930641967,16905384743,26345752402
2011-02-01,2011,2,10059126307,15998739820,17520186312,27828351920
2011-03-01,2011,3,11811085160,18681489420,21643479940,34261950666
2011-04-01,2011,4,11873269447,18088089922,20953458353,31957009482
2011-05-01,2011,5,10943364372,17222234117,21107025645,33101509445
2011-06-01,2011,6,11349953558,18189104185,21605305256,34505347866
2011-07-01,2011,7,11860004271,19624624475,21061308166,34903617076
2011-08-01,2011,8,11245124657,19738995645,19679421257,34430896427
2011-09-01,2011,9,10750626099,19344000064,21203687873,37919826248
2011-10-01,2011,10,11907219297,21834036102,19919209132,36601753959
2011-11-01,2011,11,11078524743,20068289842,18649309796,33561722145
2011-12-01,2011,12,12477486280,23290876339,20593899801,38395742412
2012-01-01,2012,1,10348187166,19086550368,17468975947,32340634136
2012-02-01,2012,2,11748000124,20686706410,17787292746,31388132910
2012-03-01,2012,3,13208572977,23608253673,20677495770,36976781198
2012-04-01,2012,4,12630226718,22573503565,19272813948,34484311424
2012-05-01,2012,5,13131530961,23702608618,21750448591,39154643118
2012-06-01,2012,6,13231198688,24129725169,20437938448,37301659596
2012-07-01,2012,7,12830675307,23268451107,20835202908,37801942461
2012-08-01,2012,8,12831394572,23035822637,18828477769,33803715333
2012-09-01,2012,9,12952651722,23366211749,19924305446,35924995682
2012-10-01,2012,10,13190769655,23779403879,18786696814,33870523175
2012-11-01,2012,11,13753052493,24793712742,20947983268,37752808695
2012-12-01,2012,12,12605476173,22534065965,19827509254,35429345220
2013-01-01,2013,1,11481521079,20340920419,18802567909,33345085047
2013-02-01,2013,2,12385690909,22004856772,19395113678,34426236330
2013-03-01,2013,3,13122058141,23757506296,20559354566,37193620247
2013-04-01,2013,4,12468202903,22440243901,22825141704,41072241866
2013-05-01,2013,5,13277209017,24236491413,23245300682,42309269331
2013-06-01,2013,6,12399973962,23540533005,21012834975,39684427779
2013-07-01,2013,7,13059519685,25249403887,22965864226,44455710332
2013-08-01,2013,8,11118300903,21847142822,18198366236,35493999410
2013-09-01,2013,9,13060371039,26393328387,20620819473,41598840220
2013-10-01,2013,10,12053704638,24028165448,19482636677,38833106384
2013-11-01,2013,11,14201227351,28752013185,21414219367,43353908454
2013-12-01,2013,12,13174857460,27159772828,23139030617,47461595884
2014-01-01,2014,1,12399761948,27564303900,19286491233,42451799424
2014-02-01,2014,2,13053292493,28911295132,18239687512,40356659489
2014-03-01,2014,3,14680110780,32603306957,19931709143,44260707465
2014-04-01,2014,4,13371185664,28504830157,20658673172,44122469619
2014-05-01,2014,5,13681906159,28660650510,20875120618,43722485051
2014-06-01,2014,6,12880924246,27323907899,20792872262,44017935979
2014-07-01,2014,7,13344776958,28320672044,19941064065,42350224434
2014-08-01,2014,8,11386828925,24642590157,19498065147,42066916564
2014-09-01,2014,9,13583120906,29980762093,20595981216,45264268135
2014-10-01,2014,10,12891630102,29150244219,19184610420,43416454966
2014-11-01,2014,11,13067348107,29234059903,21384564780,47884124702
2014-12-01,2014,12,13269271402,30397122724,21788277505,49711001653
2015-01-01,2015,1,12301766750,28747739266,16645657050,38676725789
2015-02-01,2015,2,12231860140,30079301626,16940929404,41499155599
2015-03-01,2015,3,12519910438,32391917417,18726107253,48264962257
2015-04-01,2015,4,13349346866,35439133649,18373482645,48645237213
2015-05-01,2015,5,11080385127,29360799691,17868777194,47322594796
2015-06-01,2015,6,11949647086,32324237008,18199145384,49126036772
2015-07-01,2015,7,11129358974,30042937603,18225344227,49073044970
2015-08-01,2015,8,11022045344,31461933785,15969293031,45215466930
2015-09-01,2015,9,11581703842,34804381281,15402915978,46185992650
2015-10-01,2015,10,13240039088,38864246363,16917700624,49759116175
2015-11-01,2015,11,11681989013,33609559374,15972822379,45947465767
2015-12-01,2015,12,11750818760,34335130737,17992183447,52599757625
2016-01-01,2016,1,9546115400,28783805037,13452704617,40381346685
2016-02-01,2016,2,12366388057,36417008152,15578255076,45949751495
2016-03-01,2016,3,12757672093,36971459549,17766239356,51542585312
2016-04-01,2016,4,11950497685,33955540975,16187635375,46054545222
2016-05-01,2016,5,12098611067,35537443596,17196657045,50268764707
2016-06-01,2016,6,12864154060,37575617991,19476281695,56987424649
2016-07-01,2016,7,9850124872,29230097921,14694996423,43371927308
