,date,year,month,ticker,firm,marketcap,Sector
22522,2017-09-01,2017,9,RAYSG,RAY SIGORTA,287002.94656,finans
22523,2017-09-01,2017,9,CRDFA,CREDITWEST FAKTORING,112800.0,finans
22524,2017-09-01,2017,9,GARFA,GARANTI FAKTORING,316410.0,finans
22525,2017-09-01,2017,9,ISFIN,IS FIN.KIR.,838890.41205,finans
22526,2017-09-01,2017,9,SEKFK,SEKER FIN. KIR.,90450.0,finans
22527,2017-09-01,2017,9,VAKFN,VAKIF FIN. KIR.,220180.0,finans
22528,2017-09-01,2017,9,ALARK,ALARKO HOLDING,1468178.19,enerji
22529,2017-09-01,2017,9,BRYAT,BORUSAN YAT. PAZ.,1073812.5,holding
22530,2017-09-01,2017,9,DOHOL,DOGAN HOLDING,2276736.31056,holding
22531,2017-09-01,2017,9,ECILC,ECZACIBASI ILAC,2946618.0,holding
22532,2017-09-01,2017,9,ECZYT,ECZACIBASI YATIRIM,1126650.0,holding
22533,2017-09-01,2017,9,GLYHO,GLOBAL YAT. HOLDING,1225340.4213368,holding
22534,2017-09-01,2017,9,GSDHO,GSD HOLDING,364500.0,holding
22535,2017-09-01,2017,9,IHLAS,IHLAS HOLDING,466336.0,holding
22536,2017-09-01,2017,9,KCHOL,KOC HOLDING,41461933.1175,holding
22537,2017-09-01,2017,9,MZHLD,MAZHAR ZORLU HOLDING,41176.8,holding
22538,2017-09-01,2017,9,NTHOL,NET HOLDING,778779.9999999999,holding
22539,2017-09-01,2017,9,SISE,SISE CAM,9225000.0,camseramik
22540,2017-09-01,2017,9,SAHOL,SABANCI HOLDING,20444847.38862,holding
22541,2017-09-01,2017,9,TAVHL,TAV HAVALIMANLARI,6411914.062499999,ulastirma
22542,2017-09-01,2017,9,TKFEN,TEKFEN HOLDING,4332700.0,holding
22543,2017-09-01,2017,9,TRCAS,TURCAS PETROL,688500.0,kimya
22544,2017-09-01,2017,9,ATLAS,ATLAS YAT. ORT.,31800.0,menkul
22545,2017-09-01,2017,9,ETYAT,EURO TREND YAT. ORT.,17800.0,menkul
22546,2017-09-01,2017,9,GRNYO,GARANTI YAT. ORT.,24320.0,menkul
22547,2017-09-01,2017,9,ISYAT,IS YAT. ORT.,139721.37708,menkul
22548,2017-09-01,2017,9,OYAYO,OYAK YAT. ORT.,21200.0,menkul
22549,2017-09-01,2017,9,AKMGY,AKMERKEZ GMYO,781053.44,gayrimenkul
22550,2017-09-01,2017,9,ALGYO,ALARKO GMYO,460114.3008,gayrimenkul
22551,2017-09-01,2017,9,AGYO,ATAKULE GMYO,225960.0,gayrimenkul
22552,2017-09-01,2017,9,DGGYO,DOGUS GMYO,976102.89084,gayrimenkul
22553,2017-09-01,2017,9,ISGYO,IS GMYO,1251837.5,gayrimenkul
22554,2017-09-01,2017,9,NUGYO,NUROL GMYO,357600.0,gayrimenkul
22555,2017-09-01,2017,9,OZGYO,OZDERICI GMYO,153000.0,gayrimenkul
22556,2017-09-01,2017,9,PEGYO,PERA GMYO,94446.0,gayrimenkul
22557,2017-09-01,2017,9,SNGYO,SINPAS GMYO,438000.0,gayrimenkul
22558,2017-09-01,2017,9,VKGYO,VAKIF GMYO,595950.0,gayrimenkul
22559,2017-09-01,2017,9,YKGYO,YAPI KREDI KORAY GMYO,85200.0,gayrimenkul
22560,2017-09-01,2017,9,EGCYO,EGELI & CO TARIM GIRISIM,12980.0,holding
22561,2017-09-01,2017,9,ISGSY,IS GIRISIM,129148.7904,gsyo
22562,2017-09-01,2017,9,ISMEN,IS Y. MEN. DEG.,660300.0,finans
22563,2017-09-01,2017,9,ALCTL,ALCATEL LUCENT TELETAS,320055.38444,haberlesme
22564,2017-09-01,2017,9,ARENA,ARENA BILGISAYAR,129920.0,Bilisim
22565,2017-09-01,2017,9,ARMDA,ARMADA BILGISAYAR,127680.0,Bilisim
22566,2017-09-01,2017,9,DGATE,DATAGATE BILGISAYAR,188100.0,Bilisim
22567,2017-09-01,2017,9,ESCOM,ESCORT TEKNOLOJI,59990.52,Bilisim
22568,2017-09-01,2017,9,INDES,INDEKS BILGISAYAR,631120.0,Bilisim
22569,2017-09-01,2017,9,KAREL,KAREL ELEKTRONIK,283435.2,Bilisim
22570,2017-09-01,2017,9,LINK,LINK BILGISAYAR,38170.0,Bilisim
22571,2017-09-01,2017,9,LOGO,LOGO YAZILIM,1357500.0,Bilisim
22572,2017-09-01,2017,9,NETAS,NETAS TELEKOM.,899026.128,Bilisim
22573,2017-09-01,2017,9,PKART,PLASTIKKART,61425.00000000001,Bilisim
22574,2017-09-01,2017,9,ASELS,ASELSAN,26300000.0,imalat
22575,2017-10-01,2017,10,KOZAA,KOZA MADENCILIK,2378930.4,maden
22576,2017-10-01,2017,10,ALYAG,ALTINYAG,67200.0,enerji
22577,2017-10-01,2017,10,AEFES,ANADOLU EFES,13002631.57548,gida
22578,2017-10-01,2017,10,BANVT,BANVIT,2690634.2751,gida
22579,2017-10-01,2017,10,CCOLA,COCA COLA ICECEK,9818712.1852,gida
22580,2017-10-01,2017,10,DARDL,DARDANEL,123080.84943,gida
22581,2017-10-01,2017,10,ERSU,ERSU GIDA,49320.00000000001,gida
22582,2017-10-01,2017,10,FRIGO,FRIGO PAK GIDA,5775.0,gida
22583,2017-10-01,2017,10,KENT,KENT GIDA,4245227.3365,gida
22584,2017-10-01,2017,10,KERVT,KEREVITAS GIDA,361215.4,gida
22585,2017-10-01,2017,10,KNFRT,KONFRUT GIDA,101310.0,gida
22586,2017-10-01,2017,10,KRSTL,KRISTAL KOLA,132960.0,gida
22587,2017-10-01,2017,10,MERKO,MERKO GIDA,35566.5,gida
22588,2017-10-01,2017,10,PENGD,PENGUEN GIDA,127324.0,gida
22589,2017-10-01,2017,10,PETUN,PINAR ET VE UN,422949.6,gida
22590,2017-10-01,2017,10,PINSU,PINAR SU,85496.77312995,gida
22591,2017-10-01,2017,10,PNSUT,PINAR SUT,604591.6393125,gida
22592,2017-10-01,2017,10,SELGD,SELCUK GIDA,6395.3358,gida
